S_No,Species,Trait,Parameter,"metaQTL name",Chromosome,"Position/Interval in cM/bp","Associated Markers",PVE/R2,"Link to reference"
466,"Triticum aestivum","Morphological trait","Root depth",qMRL.LP-5A,5A,-,"Xgwm328, Xbarc151",-,https://www.nature.com/articles/s41598-019-47038-2.pdf
467,"Triticum aestivum","Morphological trait","Root depth",qMRL.LP-6B,6B,-,"C261484, Xbarc1033",-,https://www.nature.com/articles/s41598-019-47038-2.pdf
468,"Triticum aestivum","Morphological trait","Root depth",qMRL.LP-7B,7B,-,"barc1181, Xbarc1116",-,https://www.nature.com/articles/s41598-019-47038-2.pdf
469,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_22,2B,-,wPt8737_2B,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
470,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_23,2B,-,Xcdo456_2B,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
471,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_24,2B,-,Xwmc770_2B,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
472,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_25,2B,-,Xbarc55_2B,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
473,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_26,2B,-,wPt6522_2B,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
474,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_27,2D,-,Xgwm296_2D,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
475,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_28,2D,-,Xcfd255_2D,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
476,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_29,2D,-,Xwmc18_2D,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
477,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_30,2D,-,Xbarc228_2D,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
478,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_31,3A,-,Xbcd1428_3A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
479,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_32,3A,-,Xgwm2_3A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
480,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_33,3A,-,Xwmc695_3A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
481,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_34,3A,-,Xwmc264_3A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
482,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_35,3A,-,wPt4725_3A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
483,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_36,3A,-,wPt1864_3A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
484,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_37,3A,-,wPt9422_3A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
485,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_38,3B,-,Xwmc597_3B,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
486,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_39,3B,-,wPt9170_3B,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
487,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_40,3B,-,Xwmc527a_3B,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
488,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_41,3B,-,Xwmc787_3B,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
489,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_42,3B,-,wPt10071_3B,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
490,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_43,3B,-,Xfba167b_3B,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
491,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_44,4A,-,Xwmc89_4A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
492,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_45,4A,-,Xwmc513_4A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
493,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_46,4A,-,Xpsr115_4A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
494,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_47,4A,-,XS25M49(350)_4A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
495,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_48,4A,-,XgbxG557_4A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
496,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_49,4A,-,wPt5543_4A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
497,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_50,4A,-,"P31, M53, 4_4A",-,https://www.nature.com/articles/s41598-019-47038-2.pdf
498,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_51,4B,-,Xcdo795_4B,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
499,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_52,4B,-,QPhs.ocS_4B.1_4B,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
500,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_53,4B,-,Xwmc413_4B,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
501,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_54,4D,-,Xgpw2180_4D,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
502,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_55,5A,-,Xwmc51_5A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
503,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_56,5A,-,Xcfd17b_5A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
504,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_57,5A,-,Xbarc180_5A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
505,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_58,5A,-,Xcdo1090A_5A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
506,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_59,5A,-,Xbarc40_5A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
507,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_60,5B,-,Xgdm146_5B,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
508,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_61,5B,-,Xbarc109_5B,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
509,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_62,5B,-,Xbarc232_5B,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
510,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_63,5D,-,Xcfd78_5D,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
511,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_64,5D,-,Xwmc805_5D,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
512,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_65,5D,-,XgbxG083_5D,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
513,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_66,5D,-,Xcfd86_5D,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
514,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_67,6A,-,Xgwm334_6A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
515,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_68,6A,-,wPt7565_6A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
516,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_69,6A,-,Xbarc171_6A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
517,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_70,6A,-,Xbarc107_6A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
518,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_71,6A,-,Xcdo1373_6A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
519,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_72,6A,-,Xfba111b_6A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
520,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_73,6A,-,Xgwm169_6A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
521,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_74,6A,-,Xcdo836_6A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
522,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_75,6B,-,"Gli, B2_6B",-,https://www.nature.com/articles/s41598-019-47038-2.pdf
523,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_76,6B,-,TC85307_6B,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
524,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_77,6B,-,Xbarc198_6B,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
525,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_78,6B,-,Yr36_6B,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
526,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_79,6B,-,Xfba67b_6B,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
527,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_80,6B,-,"P32, M54, 2_6B",-,https://www.nature.com/articles/s41598-019-47038-2.pdf
528,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_81,6D,-,XksuG48_6D,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
529,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_82,6D,-,"P43, M62, 1_6D",-,https://www.nature.com/articles/s41598-019-47038-2.pdf
530,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_83,7A,-,Xgbx3480a_7A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
531,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_84,7A,-,Xgwm900_7A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
532,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_85,7A,-,Xbarc195_7A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
533,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_86,7A,-,Xwmc9_7A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
534,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_87,7A,-,Xcfa2257_7A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
535,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_88,7B,-,wPt2278_7B,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
536,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_89,7B,-,wPt7925_7B,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
537,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_90,7B,-,wPt5280_7B,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
538,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_91,7B,-,"Psy, B1_7B",-,https://www.nature.com/articles/s41598-019-47038-2.pdf
539,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_92,7B,-,Xwmc273_7B,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
540,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_93,7D,-,Stb5_7D,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
541,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_94,7D,-,D1.1_ctg10053_7D,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
542,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_2,1A,-,"Xcfd15 ,  Xwmc104",-,https://www.nature.com/articles/s41598-019-47038-2.pdf
543,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_8,1B,-,"Xwmc500 ,  XKsu136",-,https://www.nature.com/articles/s41598-019-47038-2.pdf
544,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_18,2A,-,"Xwmc32 ,  Xgwm339",-,https://www.nature.com/articles/s41598-019-47038-2.pdf
545,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_22,2B,-,"wPt3459 ,  Xwmc382",-,https://www.nature.com/articles/s41598-019-47038-2.pdf
546,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_25,2B,-,"Xcfa2043 ,  Xwmc272",-,https://www.nature.com/articles/s41598-019-47038-2.pdf
547,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_40,3B,-,"Xcdo1164 ,  Xfbb110",-,https://www.nature.com/articles/s41598-019-47038-2.pdf
548,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_52,4B,-,"Xgwm710 ,  Xgwm368",-,https://www.nature.com/articles/s41598-019-47038-2.pdf
549,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_69,6A,-,"Xbarc146 ,  Xcdo29",-,https://www.nature.com/articles/s41598-019-47038-2.pdf
550,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL1A.1,1A,13.65-14.31,"AX110966426, AX108822131",-,https://doi.org/10.1007/s12298-021-01085-0
551,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL1A.2,1A,18.855-19.505,"AX110518076, AX110430653",-,https://doi.org/10.1007/s12298-021-01085-0
552,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL1A.3,1A,24.615-24.745,"AX109408162, AX108790365",-,https://doi.org/10.1007/s12298-021-01085-0
553,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL1A.4,1A,35.45-36.41,"AX111580764, AX95629819",-,https://doi.org/10.1007/s12298-021-01085-0
554,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL1A.5,1A,42.415-43.085,"BS00011855_51, AX109867753",-,https://doi.org/10.1007/s12298-021-01085-0
555,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL1A.6,1A,54.275-55.925,"BS00029346_51, Xwmc826",-,https://doi.org/10.1007/s12298-021-01085-0
556,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL1B.1,1B,10.16-11.14,"AX109514853, AX108815832",-,https://doi.org/10.1007/s12298-021-01085-0
557,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL1B.2,1B,28.545-29.515,"AX111122733, AX94407244",-,https://doi.org/10.1007/s12298-021-01085-0
558,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL1B.3,1B,45.815-46.205,"D_1100879, AX110474859",-,https://doi.org/10.1007/s12298-021-01085-0
559,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL1B.4,1B,49.22-50.32,"D_1161821, AX108743608",-,https://doi.org/10.1007/s12298-021-01085-0
560,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL1B.5,1B,51.995-52.565,"AX89682837, AX108936977",-,https://doi.org/10.1007/s12298-021-01085-0
561,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL1B.6,1B,54.225-55.035,"AX86176468, AX89434674",-,https://doi.org/10.1007/s12298-021-01085-0
562,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL1B.7,1B,59.99-60.35,"D_1166057, D_1130437",-,https://doi.org/10.1007/s12298-021-01085-0
563,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL1B.8,1B,73.955-74.045,"AX111548801, AX111507640",-,https://doi.org/10.1007/s12298-021-01085-0
564,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL1D.1,1D,8.365-16.695,"Xgwm147, Xgdm33",-,https://doi.org/10.1007/s12298-021-01085-0
565,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL1D.2,1D,43.435-51.545,"AX95082337, AX109484943",-,https://doi.org/10.1007/s12298-021-01085-0
566,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL1D.3,1D,59.725-67.875,"Xwmc336, AX110711194",-,https://doi.org/10.1007/s12298-021-01085-0
567,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL1D.4,1D,71.735-76.045,"AX111467161, D_3958403",-,https://doi.org/10.1007/s12298-021-01085-0
568,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL2A.1,2A,34.98-36.04,"D_1009103, AX108820840",-,https://doi.org/10.1007/s12298-021-01085-0
569,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL2A.2,2A,42.585-43.255,"D_1061332, AX110492940",-,https://doi.org/10.1007/s12298-021-01085-0
570,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL2A.3,2A,46.575-47.925,"AX110435756, AX109362948",-,https://doi.org/10.1007/s12298-021-01085-0
571,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL2A.4,2A,52.45-52.49,"AX109298548, AX111761345",-,https://doi.org/10.1007/s12298-021-01085-0
572,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL2A.5,2A,80.33-80.61,"AX111719280, Xgwm636",-,https://doi.org/10.1007/s12298-021-01085-0
573,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL2B.1,2B,3.745-4.115,"wPt4199, AX110587380",-,https://doi.org/10.1007/s12298-021-01085-0
574,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL2B.2,2B,14.585-15.895,"D_1265806, D_3534443",-,https://doi.org/10.1007/s12298-021-01085-0
575,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL2B.3,2B,33.27-34.43,"S_1675663, S_1105975",-,https://doi.org/10.1007/s12298-021-01085-0
576,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL2B.4,2B,43.545-44.795,"D_4989699, AX109364692",-,https://doi.org/10.1007/s12298-021-01085-0
577,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL2B.5,2B,47.81-49.87,"Xwmc597, tPt4627",-,https://doi.org/10.1007/s12298-021-01085-0
578,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL2B.6,2B,59.885-60.535,"D_2278188, D_1004475",-,https://doi.org/10.1007/s12298-021-01085-0
579,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL2B.7,2B,78.145-78.935,"D_1241419, D_1137511",-,https://doi.org/10.1007/s12298-021-01085-0
580,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL2B.8,2B,80.73-81.29,"Xm72p78.8, D_4993647",-,https://doi.org/10.1007/s12298-021-01085-0
581,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL2B.9,2B,97.06-97.06,"wPt8340, Xwmc435",-,https://doi.org/10.1007/s12298-021-01085-0
582,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL2D.1,2D,52.46-53.42,"D_1159406, D_995055",-,https://doi.org/10.1007/s12298-021-01085-0
583,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL2D.2,2D,67.665-68.035,"D_1088350, D_1202271",-,https://doi.org/10.1007/s12298-021-01085-0
584,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL2D.3,2D,75.08-76.88,"D_3533410, D_1119449",-,https://doi.org/10.1007/s12298-021-01085-0
585,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL2D.4,2D,82.175-82.745,"D_1119449, D_1217112",-,https://doi.org/10.1007/s12298-021-01085-0
586,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL2D.5,2D,91.835-92.525,"D_1159229, D_3936747",-,https://doi.org/10.1007/s12298-021-01085-0
587,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL2D.6,2D,98.47-101.75,"D_1282387, D_2244257",-,https://doi.org/10.1007/s12298-021-01085-0
